-0 all_void
-0.1 entity
-0.1.0 physical_entity
0.1.0.0 thing
0.1.0.0.0 anything
0.1.0.0.1 something
0.1.0.0.2 nothing
-0.1.0.0.4 body_of_water
0.1.0.0.4.14 pool
0.1.0.0.4.18 sound
0.1.0.0.4.19 stream
-0.1.0.0.6 necessity
0.1.0.0.6.0 need
0.1.0.0.7 part
-0.1.0.0.7.6 body_part
-0.1.0.0.7.6.1 area
0.1.0.0.7.6.1.9 side
-0.1.0.0.7.6.5 external_body_part
0.1.0.0.7.6.5.2 head
-0.1.0.0.7.6.5.5 extremity
-0.1.0.0.7.6.5.5.0 limb
0.1.0.0.7.6.5.5.0.0 leg
0.1.0.0.7.6.5.5.0.4 arm
-0.1.0.0.7.6.5.5.1 digit
-0.1.0.0.7.6.5.5.1.1 finger
0.1.0.0.7.6.5.5.1.1.1 index
-0.1.0.0.7.6.5.6 extremity
-0.1.0.0.7.6.5.6.0 vertebrate_foot
0.1.0.0.7.6.5.6.0.0 foot
-0.1.0.0.7.6.5.6.0.1 animal_foot
-0.1.0.0.7.6.5.6.0.1.7 paw
-0.1.0.0.7.6.5.6.0.1.7.0 forepaw
0.1.0.0.7.6.5.6.0.1.7.0.0 hand
-0.1.0.0.7.6.5.6.1 hand
0.1.0.0.7.6.5.6.1.2 right
0.1.0.0.7.6.5.7 face
-0.1.0.0.7.6.6 structure
-0.1.0.0.7.6.6.6 filament
0.1.0.0.7.6.6.6.0 hair
-0.1.0.0.7.6.6.17 passage
-0.1.0.0.7.6.6.17.1 orifice
0.1.0.0.7.6.6.17.1.2 mouth
-0.1.0.0.7.6.6.36 neural_structure
0.1.0.0.7.6.6.36.5 brain
0.1.0.0.7.6.6.40 ball
0.1.0.0.7.6.6.41 plate
0.1.0.0.7.6.6.46 bridge
0.1.0.0.7.6.6.52 layer
-0.1.0.0.7.6.10 tissue
-0.1.0.0.7.6.10.0 animal_tissue
-0.1.0.0.7.6.10.0.5 connective_tissue
-0.1.0.0.7.6.10.0.5.12 bone
-0.1.0.0.7.6.10.0.5.12.39 tooth
-0.1.0.0.7.6.10.0.5.12.39.7 canine
0.1.0.0.7.6.10.0.5.12.39.7.0 fang
-0.1.0.0.7.6.12 organ
-0.1.0.0.7.6.12.4 internal_organ
0.1.0.0.7.6.12.4.3 heart
0.1.0.0.7.6.12.4.4 stomach
-0.1.0.0.7.6.12.5 sense_organ
-0.1.0.0.7.6.12.5.4 chemoreceptor
0.1.0.0.7.6.12.5.4.2 nose
0.1.0.0.7.6.12.5.6 eye
0.1.0.0.7.6.12.5.7 ear
-0.1.0.0.7.6.15 process
-0.1.0.0.7.6.15.32 spine
